question	Option_A 	Option_B	Option_C 	Option_D	Correct_Answer	Explanation
Command and control (C2) traffic is often hidden within common application layer protocols to avoid detection, such as FTP, TCP sockets, web browsing, electronic mail, or DNS. Which of the following represents a method NOT used by an adversary to hide C2 traffic?	Web Browsing	TCP Sockets	File Transfer Protocol (FTP)	Electronic Mail	D	Electronic mail protocols are less likely to be used for hiding C2 communication due to the plaintext nature of the messages, making them easily detectable.
Which of the following strategies can help enterprises mitigate the risks associated with hidden C2 traffic?	Preventive controls to block specific protocols	Implementing detection mechanisms at the application layer	Focusing on endpoint security solutions	Incorporating user education and awareness programs	B	Since the abuse of standard application protocols can be difficult to prevent, enterprises may be better served focusing on detection at the application layer to identify hidden C2 traffic.
Which MITRE ATT&CK technique is associated with the abuse of standard application protocols for command and control communication?	T1055 - Command and Control (C2) Protocol	T1437 - Application Layer Protocol	T1086 - PowerShell	T1078 - Web Execution	A	The technique T1437 describes the abuse of application layer protocols for command and control communication.
Which of the following is NOT a method used by DoubleAgent to hide C2 traffic?	Firebase Cloud Messaging	FTP	SMTP	HTTP	B	DoubleAgent uses Firebase Cloud Messaging for receiving C2 instructions, not Simple Mail Transfer Protocol (SMTP).
Which of the following cyber threat groups is known to use Firebase Cloud Messaging for receiving C2 instructions?	Drinik	APT32	Fancy Bear	Lazarus Group	A	Drinik is known to use Firebase Cloud Messaging for receiving C2 instructions.
Which of the following techniques does the attacker employ to blend in with existing traffic when using application layer protocols for C2 communication?	Data Encryption	Protocol Encapsulation	Data Obfuscation	Protocol Spoofing	C	To blend in with existing traffic, attackers may obfuscate the data within the application layer protocol, making it difficult to distinguish from legitimate traffic.
Which of the following would NOT be an effective method to detect application layer protocol abuse for C2 communication?	Inspecting network traffic for known C2 command and control domains	Analyzing application layer protocol traffic for anomalous patterns	Monitoring DNS traffic for unusual query patterns	Implementing intrusion detection systems (IDS) for application layer protocol analysis	C	Inspection of DNS traffic may not be the most effective method to detect application layer protocol abuse for C2 communication, as many legitimate applications use DNS for various purposes.
The ability to detect hidden C2 traffic depends on the attacker's use of data obfuscation. Which of the following detection strategies may help in this scenario?	Blocking specific application layer protocols	Inspecting application layer protocol traffic for patterns of data obfuscation	Analyzing endpoint behavior for signs of data exfiltration	Monitoring network traffic for unusual patterns of communication	B	Inspecting application layer traffic for patterns of data obfuscation can help in detecting hidden C2 traffic.
Which of the following is NOT a potential consequence of hidden C2 traffic?	Data exfiltration	Data manipulation	System stability issues	ViceLeaker	D	Hidden C2 traffic does not typically lead to system stability issues, as it primarily focuses on communication and control rather than affecting the system's stability.
Which of the following is a method used by Drinik to communicate with the C2 server using Firebase Cloud Messaging?	Sending encrypted messages	Sending raw JSON messages	Sending compressed messages	Sending HTTP requests with custom headers	B	Drinik sends raw JSON messages to the C2 server using Firebase Cloud Messaging.
Which of the following is NOT a potential mitigation strategy for hidden C2 traffic?	Implementing behavior-based anomaly detection	Blocking specific application protocols	Enforcing strict access controls	Utilizing endpoint protection solutions	B	Blocking specific application protocols may be ineffective in mitigating hidden C2 traffic, as attackers can abuse any number of protocols for their purposes.
Analyzing network traffic for anomalous patterns helps in detecting hidden C2 traffic. Which of the following would be an example of an anomalous pattern in this context?	Large amounts of data transfer in a short period	A sudden increase in the number of connections to an unexpected domain	Frequent use of a specific application protocol	All of the above	D	Large amounts of data transfer in a short period, a sudden increase in the number of connections to an unexpected domain, and frequent use of a specific application protocol can all be examples of anomalous patterns that may indicate hidden C2 traffic.
Which of the following is NOT a potential technique used by an adversary to hide C2 traffic using application layer protocols?	Encapsulating the C2 traffic within multiple layers of protocols	Using custom application protocols	Using HTTPS for encrypted communication	Using Firebase Cloud Messaging for C2 communication	B	While adversaries may use custom application protocols, Firebase Cloud Messaging is a legitimate application protocol used by many applications, making it a less suspicious choice for hiding C2 traffic.
Analyzing application layer protocol traffic for anomalous patterns can help in detecting hidden C2 traffic. Which of the following would NOT be an anomalous pattern in this context?	Frequent use of specific ports	Large amounts of data transfer in a short period	A sudden increase in the number of connections to an expected domain	Using a mixture of application protocols for communication	C	A sudden increase in the number of connections to an expected domain would typically not be considered an anomalous pattern, as it may represent legitimate activity.
What is a watering hole attack?	A drive-by compromise where a user's web browser is targeted and exploited due to visiting a compromised website, often used to target specific communities or industries.	A ransomware attack that spreads through infected websites.	A technique used by adversaries to inject malicious scripts into a legitimate website.	A method to contain web-based malware using built-in browser sandboxes and application isolation.	A	A watering hole attack is a drive-by compromise where users visiting a compromised website are targeted, often to reach specific communities or industries.
What is the Dragonfly campaign targeting?	Industrial control systems (ICS) and critical infrastructure related trade publications and informational websites.	Staging targets, including trusted third-party suppliers and related peripheral organizations.	Government networks and critical infrastructure.	Browsers and plugins to exploit vulnerabilities.	A	The Dragonfly campaign targets industrial control systems (ICS) and critical infrastructure through related trade publications and informational websites.
Which of the following is a common feature of watering hole attacks?	Targeting a specific community or industry.	Exploiting vulnerabilities in web browsers.	Injecting malicious scripts into legitimate websites.	Utilizing ransomware.	C	Watering hole attacks commonly involve injecting malicious scripts into legitimate websites.
How can firewalls and proxies be used to prevent watering hole attacks?	Inspecting URLs for potentially known-bad domains or parameters.	Utilizing exploit protection to prevent activities which may be exploited through malicious web sites.	Restricting browsers to limit the capabilities of malicious ads and Javascript.	Ensuring all browsers and plugins are kept updated to help prevent the exploit phase of this technique.	A	Firewalls and proxies can help prevent watering hole attacks by inspecting URLs for known-bad domains or parameters.
What is the difference between staging and intended targets in the Dragonfly campaign?	Staging targets are intended targets, while intended targets are staging targets.	Staging targets are less secure networks of trusted third-party suppliers and related peripheral organizations, while intended targets are government networks and critical infrastructure.	Intended targets are less secure networks of trusted third-party suppliers and related peripheral organizations, while staging targets are government networks and critical infrastructure.	Staging targets are energy sector websites, while intended targets are industrial employees.	B	Staging targets are less secure networks of trusted third-party suppliers and related peripheral organizations, whereas intended targets are government networks and critical infrastructure.
What is ALLANITE and how does it utilize watering hole attacks?	ALLANITE is a technique used by adversaries to inject malicious scripts into a legitimate website.	ALLANITE is a ransomware that spreads through drive-by attacks where insecure websites are compromised.	ALLANITE is a malware that targets electric utilities by utilizing watering hole attacks.	ALLANITE is a method to contain web-based malware using built-in browser sandboxes and application isolation.	C	ALLANITE is a malware that targets electric utilities and uses watering hole attacks.
